Artist,Track,Popularity Score,Country,Track Duration,Key,Tempo (bpm),Time Signature,Loudness (dB),Valence,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10
Justin Bieber,Ghost,87,Singapore,02:33,D Major,153,4.0,-5.569,0.441,canadian pop, pop,,,,,,,,
Ruth B.,Dandelions,72,Malaysia,03:53,C# Major,116,3.0,-2.958,0.454,alt z, canadian contemporary r&b, canadian pop, pop,,,,,,
SZA,Nobody Gets Me,87,Malaysia,03:00,G Major,99,3.0,-8.285,0.276,pop, r&b, rap,,,,,,,
Peso Pluma,LADY GAGA,93,Mexico,03:32,F Minor,140,3.0,-7.118,0.873,sad sierreno,,,,,,,,,
Peso Pluma,LADY GAGA,93,USA,03:32,F Minor,140,3.0,-7.118,0.873,sad sierreno,,,,,,,,,
Peso Pluma,LADY GAGA,93,Guatemala,03:32,F Minor,140,3.0,-7.118,0.873,sad sierreno,,,,,,,,,
Peso Pluma,LADY GAGA,93,Honduras,03:32,F Minor,140,3.0,-7.118,0.873,sad sierreno,,,,,,,,,
Peso Pluma,LADY GAGA,93,Nicaragua,03:32,F Minor,140,3.0,-7.118,0.873,sad sierreno,,,,,,,,,
Fuerza Regida,SABOR FRESA,85,Mexico,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Fuerza Regida,SABOR FRESA,85,USA,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Fuerza Regida,SABOR FRESA,85,El Salvador,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Fuerza Regida,SABOR FRESA,85,Guatemala,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Fuerza Regida,SABOR FRESA,85,Honduras,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Fuerza Regida,SABOR FRESA,85,Nicaragua,02:36,G Minor,130,3.0,-4.599,0.962,corrido, corridos tumbados, sad sierreno, sierreno,,,,,,
Junior H,El Azul,87,Mexico,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Junior H,El Azul,87,USA,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Junior H,El Azul,87,El Salvador,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Junior H,El Azul,87,Guatemala,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Junior H,El Azul,87,Honduras,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Junior H,El Azul,87,Nicaragua,03:07,A Minor,143,3.0,-7.081,0.844,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Peso Pluma,TULUM,93,Mexico,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Bolivia,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Paraguai,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Costa Rica,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,El Salvador,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Guatemala,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Honduras,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Peso Pluma,TULUM,93,Nicaragua,03:29,F# Major,167,4.0,-4.454,0.631,sad sierreno,,,,,,,,,
Natanael Cano,Mi Bello Angel,86,Mexico,,A Minor,127,3.0,-5.956,0.903,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Natanael Cano,Mi Bello Angel,86,Guatemala,,A Minor,127,3.0,-5.956,0.903,corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,Mexico,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,Costa Rica,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,El Salvador,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,Guatemala,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,Honduras,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Primera Cita,82,Nicaragua,03:06,A# Major,157,3.0,-7.805,0.488,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Peso Pluma,LUNA,93,Mexico,02:43,A Minor,127,3.0,-8.509,0.793,sad sierreno,,,,,,,,,
Peso Pluma,LUNA,93,Guatemala,02:43,A Minor,127,3.0,-8.509,0.793,sad sierreno,,,,,,,,,
Peso Pluma,LAGUNAS,93,Mexico,03:51,B Major,115,3.0,-10.621,0.792,sad sierreno,,,,,,,,,
Peso Pluma,LAGUNAS,93,Guatemala,03:51,B Major,115,3.0,-10.621,0.792,sad sierreno,,,,,,,,,
Oscar Maydon,Fin de Semana,73,Mexico,03:44,C Major,98,4.0,-4.943,0.365,corrido, corridos tumbados, sierreno,,,,,,,
Oscar Maydon,Fin de Semana,73,Guatemala,03:44,C Major,98,4.0,-4.943,0.365,corrido, corridos tumbados, sierreno,,,,,,,
Carin Leon,Que Vuelvas,82,Mexico,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Bolivia,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Paraguai,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Costa Rica,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,El Salvador,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Guatemala,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Honduras,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Carin Leon,Que Vuelvas,82,Nicaragua,02:49,A# Major,162,4.0,-4.309,0.779,banda, corrido, musica mexicana, sad sierreno, sierreno,,,,,
Chino Pacas,El Gordo Trae El Mando,73,Mexico,01:52,G Minor,140,3.0,-5.38,0.961,corrido,,,,,,,,,
Chino Pacas,El Gordo Trae El Mando,73,Guatemala,01:52,G Minor,140,3.0,-5.38,0.961,corrido,,,,,,,,,
